Date,Store_ID,Product_ID,Units_Sold,Price,Discount,Revenue
2025-07-01,S1,P14,8,7.93,0.17,52.655199999999994
2025-07-01,S1,P151,2,19.55,0.13,34.017
2025-07-01,S1,P15,9,30.28,0.05,258.89399999999995
2025-07-01,S1,P39,9,34.11,0.02,300.85020000000003
2025-07-01,S1,P126,9,35.95,0.15,275.0175
2025-07-01,S1,P68,3,27.01,0.12,71.3064
2025-07-01,S1,P111,6,24.71,0.19,120.0906
2025-07-01,S1,P113,3,17.01,0.08,46.9476
2025-07-01,S1,P180,2,12.04,0.12,21.1904
2025-07-01,S1,P198,5,37.55,0.0,187.75
2025-07-01,S1,P21,6,16.52,0.12,87.2256
2025-07-01,S1,P94,8,36.18,0.02,283.6512
2025-07-01,S1,P31,8,28.79,0.25,172.74
2025-07-01,S1,P6,2,24.31,0.23,37.4374
2025-07-01,S2,P118,1,21.16,0.18,17.351200000000002
2025-07-01,S2,P62,9,29.58,0.13,231.61139999999997
2025-07-01,S2,P26,3,34.03,0.05,96.9855
2025-07-01,S2,P154,6,29.31,0.05,167.06699999999998
2025-07-01,S2,P20,1,22.6,0.18,18.532000000000004
2025-07-01,S2,P142,6,24.51,0.04,141.17759999999998
2025-07-01,S2,P100,3,4.92,0.08,13.5792
2025-07-01,S2,P10,5,5.34,0.25,20.025
2025-07-01,S2,P13,8,32.97,0.06,247.93439999999998
2025-07-01,S2,P101,9,31.13,0.15,238.1445
2025-07-01,S3,P38,7,32.39,0.03,219.9281
2025-07-01,S3,P69,2,7.6,0.18,12.464
2025-07-01,S3,P137,2,9.71,0.02,19.0316
2025-07-01,S3,P40,6,4.78,0.2,22.944000000000003
2025-07-01,S3,P11,9,30.77,0.2,221.544
2025-07-01,S3,P35,5,9.9,0.06,46.529999999999994
2025-07-01,S3,P78,4,14.7,0.15,49.98
2025-07-01,S3,P146,8,19.72,0.18,129.3632
2025-07-01,S3,P32,3,26.09,0.13,68.0949
2025-07-01,S3,P63,1,11.59,0.22,9.0402
2025-07-01,S3,P194,5,36.54,0.16,153.468
